Protein A;Gene A;Taxon A;Protein B;Gene B;Taxon B;Score;PMID
Q16363;LAMA4;9606;P04637;TP53;9606;0.426;16169070 25241761 
Q16539;MAPK14;9606;P04637;TP53;9606;0.837;17172861 20213747 21050851 21675959 15642743 
Q5VTR2;RNF20;9606;P04637;TP53;9606;0.583;19410543 16337599 
Q61221;HIF1A;10090;P04637;TP53;9606;0.454;11707426 
Q6UXN9;WDR82;9606;P04637;TP53;9606;0.286;23870121 
Q86T24;ZBTB33;9606;P04637;TP53;9606;0.659;26183023 25288747 
Q8IXF0;NPAS3;9606;P04637;TP53;9606;0.236;25609649 
Q8WTS6;SETD7;9606;P04637;TP53;9606;0.928;16415881 17108971 15525938 21988832 
Q8WYH8;ING5;9606;P04637;TP53;9606;0.692;12750254 17954561 21177815 
Q969V5;MUL1;9606;P04637;TP53;9606;0.794;21597459 
Q96CJ1;EAF2;9606;P04637;TP53;9606;0.236;27107012 
Q96FW1;OTUB1;9606;P04637;TP53;9606;0.884;22124327 24403071 27561390 
Q96PU4;UHRF2;9606;P04637;TP53;9606;0.702;21952639 
Q96S59;RANBP9;9606;P04637;TP53;9606;0.396;22653443 18307271 
Q96ST3;SIN3A;9606;P04637;TP53;9606;0.787;10823891 11359905 10521394 
Q99576;TSC22D3;9606;P04637;TP53;9606;0.671;25168242 
Q99728;BARD1;9606;P04637;TP53;9606;0.731;14636569 15782130 26022179 21742769 
Q9BQE3;TUBA1C;9606;P04637;TP53;9606;0.236;23443559 25144556 
Q9BT78;COPS4;9606;P04637;TP53;9606;0.309;22653443 24725084 
Q9BVP2;GNL3;9606;P04637;TP53;9606;0.837;12464630 19033382 
Q9BX70;BTBD2;9606;P04637;TP53;9606;0.454;16169070 
Q9GZV1;ANKRD2;9606;P04637;TP53;9606;0.454;15136035 
Q9H0A0;NAT10;9606;P04637;TP53;9606;0.702;26882543 
Q9HB65;ELL3;9606;P04637;TP53;9606;0.454;26540344 
Q9HCE1;MOV10;9606;P04637;TP53;9606;0.236;25609649 
P85037;FOXK1;9606;P04637;TP53;9606;0.236;25609649 
Q9UBU9;NXF1;9606;Q13625;TP53BP2;9606;0.523;25416956 22658674 
Q13625;TP53BP2;9606;P53350;PLK1;9606;0.332;21900206 
P61224;RAP1B;9606;P04637;TP53;9606;0.332;21900206 
P26687;TWIST1;10090;P04637;TP53;9606;0.376;22975381 
Q9UN74;PCDHA4;9606;P04637;TP53;9606;0.286;16169070 
Q96KQ4;PPP1R13B;9606;P21266;GSTM3;9606;0.236;26186194 28514442 
Q9UPZ9;ICK;9606;P04637;TP53;9606;0.236;23602568 
Q15424;SAFB;9606;P04637;TP53;9606;0.659;21130767 
Q08619;IFI205B;10090;P04637;TP53;9606;0.376;16458891 
P54725;RAD23A;9606;P04637;TP53;9606;0.376;15064742 16105547 
Q15648;MED1;9606;P04637;TP53;9606;0.748;15848166 9444950 11118038 
P55318;FOXA3;9606;P04637;TP53;9606;0.236;25609649 
P24522;GADD45A;9606;P04637;TP53;9606;0.332;21900206 
P24830;E2 {ECO:0000255|HAMAP-RULE:MF_04001};10588;P04637;TP53;9606;0.236;22761572 
Q13625;TP53BP2;9606;Q04917;YWHAH;9606;0.236;17979178 26496610 
Q16594;TAF9;9606;P04637;TP53;9606;0.597;11278372 7761466 7809597 18250150 
Q05655;PRKCD;9606;P04637;TP53;9606;0.623;16377624 16314418 
P28482;MAPK1;9606;P04637;TP53;9606;0.697;10958792 23443559 25241761 21147777 21675959 
Q96KQ4;PPP1R13B;9606;P25800;LMO1;9606;0.236;unassigned1304 
Q06587;RING1;9606;P04637;TP53;9606;0.671;29187402 22907436 
Q96KN7;RPGRIP1;9606;Q13625;TP53BP2;9606;0.236;26638075 
Q96KQ4;PPP1R13B;9606;P61024;CKS1B;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;P56279;TCL1A;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;O94964;SOGA1;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;A6NKD9;CCDC85C;9606;0.236;24366813 
Q96KQ4;PPP1R13B;9606;O60941;DTNB;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;O43741;PRKAB2;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;P40692;MLH1;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;P0CG20;PRR35;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;P04637;TP53;9606;0.376;21513714 
Q96KQ4;PPP1R13B;9606;O95057;DIRAS1;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;O95460;MATN4;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;P40222;TXLNA;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;P19013;KRT4;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;P16298;PPP3CB;9606;0.236;24366813 
Q96KQ4;PPP1R13B;9606;P20700;LMNB1;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;Q92619;HMHA1;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;Q68D86;CCDC102B;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;Q05D60;CCDC67;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;Q03252;LMNB2;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;P62140;PPP1CB;9606;0.49;28330616 27880917 24366813 
Q96KQ4;PPP1R13B;9606;Q52MB2;CCDC184;9606;0.454;25416956 
Q96KQ4;PPP1R13B;9606;Q13077;TRAF1;9606;0.454;25416956 
Q96KQ4;PPP1R13B;9606;Q15834;CCDC85B;9606;0.236;24366813 
Q96KQ4;PPP1R13B;9606;Q13515;BFSP2;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;Q15311;RALBP1;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;Q8WW24;TEKT4;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;Q8N5A5;ZGPAT;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;Q6NYC8;PPP1R18;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;Q8IYH5;ZZZ3;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;Q86XR8;CEP57;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;Q86YD7;FAM90A1;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;Q8TD31;CCHCR1;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;Q8NB25;FAM184A;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;Q8NA61;SPERT;9606;0.236;unassigned1304 
Q96KQ4;PPP1R13B;9606;Q8NHQ8;RASSF8;9606;0.554;26186194 24366813 unassigned1304 28514442 
Q96KQ4;PPP1R13B;9606;Q8TAP4;LMO3;9606;0.236;unassigned1304 
Q9P0W2;HMG20B;9606;Q96KQ4;PPP1R13B;9606;0.236;unassigned1304 
Q9BVG8;KIFC3;9606;Q96KQ4;PPP1R13B;9606;0.236;unassigned1304 
Q96QC0;PPP1R10;9606;Q96KQ4;PPP1R13B;9606;0.236;24366813 
Q96KQ4;PPP1R13B;9606;Q96EZ8;MCRS1;9606;0.236;unassigned1304 
Q9BRT9;GINS4;9606;Q96KQ4;PPP1R13B;9606;0.236;unassigned1304 
Q99459;CDC5L;9606;Q96KQ4;PPP1R13B;9606;0.49;17043677 unassigned1304 
Q99816;TSG101;9606;Q96KQ4;PPP1R13B;9606;0.236;unassigned1304 
Q9NYP9;MIS18A;9606;Q96KQ4;PPP1R13B;9606;0.236;unassigned1304 
Q9BZW7;TSGA10;9606;Q96KQ4;PPP1R13B;9606;0.236;unassigned1304 
Q9BXU0;TEX12;9606;Q96KQ4;PPP1R13B;9606;0.236;unassigned1304 
Q9BY27;DGCR6L;9606;Q96KQ4;PPP1R13B;9606;0.236;unassigned1304 
Q9NWW7;C2ORF42;9606;Q96KQ4;PPP1R13B;9606;0.236;unassigned1304 
Q9H3G5;CPVL;9606;Q96KQ4;PPP1R13B;9606;0.236;24366813 
Q9NRM7;LATS2;9606;Q96KQ4;PPP1R13B;9606;0.659;21041410 24255178 21041411 
Q9Y6W3;CAPN7;9606;Q96KQ4;PPP1R13B;9606;0.236;unassigned1304 
Q9ULW6;NAP1L2;9606;Q96KQ4;PPP1R13B;9606;0.236;unassigned1304 
Q9BQA5;HINFP;9606;P04637;TP53;9606;0.332;21516116 
Q96M61;MAGEB18;9606;P04637;TP53;9606;0.554;16713569 16189514 
Q96KQ4;PPP1R13B;9606;Q1A5X7;WHAMMP3;9606;0.236;unassigned1304 
Q07955;SRSF1;9606;P04637;TP53;9606;0.454;20805487 
Q494U1;PLEKHN1;9606;Q13625;TP53BP2;9606;0.454;25416956 
Q96NE9;FRMD6;9606;Q13625;TP53BP2;9606;0.236;26186194 28514442 
Q96NL6;SCLT1;9606;Q13625;TP53BP2;9606;0.236;26638075 
Q15154;PCM1;9606;Q13625;TP53BP2;9606;0.236;26638075 
Q49MG5;MAP9;9606;P04637;TP53;9606;0.454;22672907 
Q96KQ4;PPP1R13B;9606;Q4G176;ACSF3;9606;0.236;unassigned1304 
Q9BUJ2;HNRNPUL1;9606;P04637;TP53;9606;0.765;22653443 15907477 
Q9BUJ2;HNRNPUL1;9606;Q96KQ4;PPP1R13B;9606;0.236;unassigned1304 
Q96ST8;CEP89;9606;Q13625;TP53BP2;9606;0.236;26638075 
Q4VCS5;AMOT;9606;Q13625;TP53BP2;9606;0.196;24255178 
Q9BWC9;CCDC106;9606;P04637;TP53;9606;0.61;20159018 16169070 
Q14151;SAFB2;9606;P04637;TP53;9606;0.376;21130767 
Q99853;FOXB1;9606;P04637;TP53;9606;0.236;25609649 
Q9C0F1;CEP44;9606;Q13625;TP53BP2;9606;0.236;26638075 
Q12948;FOXC1;9606;P04637;TP53;9606;0.236;25609649 
Q14457;BECN1;9606;Q13625;TP53BP2;9606;0.236;20562859 
Q13227;GPS2;9606;P04637;TP53;9606;0.454;11486030 
Q13233;MAP3K1;9606;P04637;TP53;9606;0.731;20923779 26018553 
Q9H9B1;EHMT1;9606;P04637;TP53;9606;0.523;20588255 20118233 
Q13625;TP53BP2;9606;Q13387;MAPK8IP2;9606;0.332;21900206 
Q9HAQ2;KIF9;9606;Q96KQ4;PPP1R13B;9606;0.236;unassigned1304 
Q9HAU0;PLEKHA5;9606;Q96KQ4;PPP1R13B;9606;0.286;20936779 
Q9C009;FOXQ1;9606;P04637;TP53;9606;0.236;25609649 
Q13625;TP53BP2;9606;P34932;HSPA4;9606;0.236;24366813 
Q13625;TP53BP2;9606;P04083;ANXA1;9606;0.236;24366813 
Q13625;TP53BP2;9606;A6NKD9;CCDC85C;9606;0.236;24366813 
Q13625;TP53BP2;9606;P02340;TP53;10090;0.065;8016121 
Q13625;TP53BP2;9606;P41236;PPP1R2;9606;0.236;24366813 
Q13625;TP53BP2;9606;P62140;PPP1CB;9606;0.722;28330616 25416956 24366813 27880917 
Q13625;TP53BP2;9606;Q02833;RASSF7;9606;0.554;26186194 28514442 24366813 
Q15834;CCDC85B;9606;Q13625;TP53BP2;9606;0.236;24366813 
Q53HC0;CCDC92;9606;Q13625;TP53BP2;9606;0.454;25416956 
Q92598;HSPH1;9606;Q13625;TP53BP2;9606;0.236;24366813 
Q8NHQ8;RASSF8;9606;Q13625;TP53BP2;9606;0.61;26186194 24366813 26496610 28514442 
Q8TEW0;PARD3;9606;Q13625;TP53BP2;9606;0.236;24366813 
Q9H3G5;CPVL;9606;Q13625;TP53BP2;9606;0.236;24366813 
Q9Y2D8;SSX2IP;9606;Q13625;TP53BP2;9606;0.583;25416956 26638075 
Q9HBJ7;USP29;9606;P04637;TP53;9606;0.376;21285945 
Q96KQ4;PPP1R13B;9606;Q5HYW2;NHSL2;9606;0.236;unassigned1304 
Q9HC77;CENPJ;9606;Q13625;TP53BP2;9606;0.236;26638075 
Q53GS9;USP39;9606;P04637;TP53;9606;0.236;19615732 
Q9H334;FOXP1;9606;P04637;TP53;9606;0.236;25609649 
Q9H4L4;SENP3;9606;P04637;TP53;9606;0.309;21316347 
Q66GS9;CEP135;9606;P04637;TP53;9606;0.236;26638075 
Q66GS9;CEP135;9606;Q13625;TP53BP2;9606;0.236;26638075 
Q66K89;E4F1;9606;P04637;TP53;9606;0.765;16652157 10644996 12446718 
Q68CZ1;RPGRIP1L;9606;P04637;TP53;9606;0.236;26638075 
Q68CZ1;RPGRIP1L;9606;Q13625;TP53BP2;9606;0.236;26638075 
Q96KQ4;PPP1R13B;9606;Q09472;EP300;9606;0.507;21513714 
Q96SB4;SRPK1;9606;P04637;TP53;9606;0.814;21130767 
P24941;CDK2;9606;P04637;TP53;9606;0.583;10884347 19556892 25241761 
Q99608;NDN;9606;P04637;TP53;9606;0.808;23785149 10347180 24722188 18753379 
Q96J02;ITCH;9606;Q13625;TP53BP2;9606;0.814;25436413 
Q13625;TP53BP2;9606;Q04206;RELA;9606;0.858;18448430 10498867 
Q7LG56;RRM2B;9606;P04637;TP53;9606;0.507;19015526 12615712 
Q7Z6Z7;HUWE1;9606;P04637;TP53;9606;0.814;15989956 22552282 
Q9H422;HIPK3;9606;P04637;TP53;9606;0.472;23602568 10961991 
Q86XK2;FBXO11;9606;P04637;TP53;9606;0.74;17098746 
Q96KQ4;PPP1R13B;9606;Q07666;KHDRBS1;9606;0.61;22745667 16474851 
Q13155;AIMP2;9606;P04637;TP53;9606;0.858;18695251 
Q8N5A5;ZGPAT;9606;Q13625;TP53BP2;9606;0.583;25416956 
P62913;RPL11;9606;P04637;TP53;9606;0.731;14612427 23443559 15308643 23169665 
Q13625;TP53BP2;9606;Q13625;TP53BP2;9606;0.702;18448430 
Q9UHC7;MKRN1;9606;P04637;TP53;9606;0.787;19536131 
Q9UNH5;CDC14A;9606;P04637;TP53;9606;0.623;10644693 
Q9UPR3;SMG5;9606;P04637;TP53;9606;0.332;22653443 25609649 
Q9P0U4;CXXC1;9606;P04637;TP53;9606;0.681;23870121 
P04637;TP53;9606;O95155;UBE4B;9606;0.888;21317885 24587254 26673821 
P04637;TP53;9606;O95365;ZBTB7A;9606;0.569;24857950 19244234 
P04792;HSPB1;9606;P04637;TP53;9606;0.642;17184779 25241761 16169070 
P63165;SUMO1;9606;P04637;TP53;9606;0.539;19684601 16732283 10961991 
P67809;YBX1;9606;P04637;TP53;9606;0.772;23443559 25144556 15136035 11175333 21344396 
Q9H9J4;USP42;9606;P04637;TP53;9606;0.872;22085928 
Q9NZC7;WWOX;9606;P04637;TP53;9606;0.853;15580310 11058590 16219768 
P04637;TP53;9606;O15055;PER2;9606;0.837;25103245 27834218 
P04637;TP53;9606;O60341;KDM1A;9606;0.902;22653443 17805299 18573881 
P04637;TP53;9606;O75528;TADA3;9606;0.731;17452980 17272277 18250150 11707411 23443559 
P04637;TP53;9606;O94776;MTA2;9606;0.623;11099047 12920132 
P06463;E6;333761;P04637;TP53;9606;0.876;18977328 8207801 11571640 22810586 11907332 15175323 
P07437;TUBB;9606;P04637;TP53;9606;0.332;22653443 23443559 25144556 
P11021;HSPA5;9606;P04637;TP53;9606;0.454;17184779 23443559 
P18074;ERCC2;9606;P04637;TP53;9606;0.671;7663514 8612585 
P17987;TCP1;9606;P04637;TP53;9606;0.332;22653443 23443559 25144556 
P19525;EIF2AK2;9606;P04637;TP53;9606;0.872;10348343 19631745 
P22736;NR4A1;9606;P04637;TP53;9606;0.884;17139261 
P40227;CCT6A;9606;P04637;TP53;9606;0.332;22653443 23443559 25144556 
P04637;TP53;9606;O35618;MDM4;10090;0.472;21572037 15916963 8895579 
P50991;CCT4;9606;P04637;TP53;9606;0.332;22653443 23443559 25144556 
P49757;NUMB;9606;P04637;TP53;9606;0.808;22157679 18172499 23881403 27106262 28223335 
P48730;CSNK1D;9606;P04637;TP53;9606;0.761;25241761 16870621 17101137 18246126 
P49368;CCT3;9606;P04637;TP53;9606;0.332;22653443 23443559 25144556 
P50990;CCT8;9606;P04637;TP53;9606;0.332;22653443 23443559 25144556 
P54132;BLM;9606;P04637;TP53;9606;0.958;22653443 11781842 15364958 11399766 24239288 12080066 
P60484;PTEN;9606;P04637;TP53;9606;0.787;14559824 12620407 24141722 18339852 
P68400;CSNK2A1;9606;P04637;TP53;9606;0.823;15358769 22975381 25241761 12628923 24725084 23443559 
P78371;CCT2;9606;P04637;TP53;9606;0.332;22653443 23443559 25144556 
Q05397;PTK2;9606;P04637;TP53;9606;0.91;25241761 19857493 18206965 15855171 
Q06609;RAD51;9606;P04637;TP53;9606;0.884;16983346 14636569 15064730 9380510 8617246 
Q13362;PPP2R5C;9606;P04637;TP53;9606;0.365;17245430 25241761 
Q13885;TUBB2A;9606;P04637;TP53;9606;0.332;22653443 23443559 25144556 
Q14694;USP10;9606;P04637;TP53;9606;0.872;20096447 24998844 
Q15466;NR0B2;9606;P04637;TP53;9606;0.832;22575647 22737255 
Q16665;HIF1A;9606;P04637;TP53;9606;0.832;10640274 27345397 9537326 12606552 12124396 
P04637;TP53;9606;O75928;PIAS2;9606;0.823;11867732 19339993 25241761 18624398 
Q8N3Y1;FBXW8;9606;P04637;TP53;9606;0.332;22653443 25609649 
Q8N9N5;BANP;9606;P04637;TP53;9606;0.908;20075864 19303885 22074660 
Q92905;COPS5;9606;P04637;TP53;9606;0.92;11285227 16936264 16624822 17879958 24725084 
Q92922;SMARCC1;9606;P04637;TP53;9606;0.454;18303029 11950834 
Q99832;CCT7;9606;P04637;TP53;9606;0.332;22653443 23443559 25144556 
P10415;BCL2;9606;P04637;TP53;9606;0.853;19521340 21624955 9194558 21597459 12667443 
P11142;HSPA8;9606;P04637;TP53;9606;0.794;25144556 8729618 7954368 11297531 28215707 23443559 
P14373;TRIM27;9606;P04637;TP53;9606;0.623;20972456 
P18847;ATF3;9606;P04637;TP53;9606;0.853;11792711 16169070 15933712 
P16885;PLCG2;9606;P04637;TP53;9606;0.376;25814554 
Q13625;TP53BP2;9606;P05067;APP;9606;0.569;11278849 
P33981;TTK;9606;P04637;TP53;9606;0.623;19332559 
Q9Y468;L3MBTL1;9606;P04637;TP53;9606;0.623;20870725 
Q9ULJ6;ZMIZ1;9606;P04637;TP53;9606;0.623;17584785 
Q92794;KAT6A;9606;P04637;TP53;9606;0.702;19001415 23431171 
P38646;HSPA9;9606;P04637;TP53;9606;0.946;20153329 22726440 25144556 11900485 17184779 22340593 22366412 23443559 
Q7Z2E3;APTX;9606;P04637;TP53;9606;0.659;15044383 
Q96KQ4;PPP1R13B;9606;P36873;PPP1CC;9606;0.884;28330616 21382349 23080069 21998301 27880917 28514442 26186194 24366813 
Q96KQ4;PPP1R13B;9606;Q8TD10;MIPOL1;9606;0.454;25416956 
P07900;HSP90AA1;9606;P04637;TP53;9606;0.888;10557093 23443559 12427754 11507088 21268072 11297531 22939624 15001357 15358769 
P04637;TP53;9606;O75147;OBSL1;9606;0.416;22653443 25609649 23443559 
P04637;TP53;9606;O75925;PIAS1;9606;0.94;11583632 15133049 25241761 11867732 20805487 10380882 
P04637;TP53;9606;O95816;BAG2;9606;0.472;22653443 23443559 25144556 27807478 
P09429;HMGB1;9606;P04637;TP53;9606;0.848;11106654 11748221 9472015 
P09874;PARP1;9606;P04637;TP53;9606;0.943;14627987 9565608 15044383 9312059 12898523 
P20226;TBP;9606;P04637;TP53;9606;0.93;11313951 10359315 1465435 9349482 7799929 12379483 8083962 
P26447;S100A4;9606;P04637;TP53;9606;0.939;20591429 23752197 11527429 20070253 19740107 
P30153;PPP2R1A;9606;P04637;TP53;9606;0.498;17245430 25241761 
P42771;CDKN2A;9606;P04637;TP53;9606;0.88;20395212 9724636 9653180 9529249 12446718 14612427 
P61978;HNRNPK;9606;P04637;TP53;9606;0.853;23092970 25144556 21821029 
P61964;WDR5;9606;P04637;TP53;9606;0.569;15960975 23870121 
P84022;SMAD3;9606;P04637;TP53;9606;0.623;12732139 23687300 24157709 
Q13625;TP53BP2;9606;P04637;TP53;9606;0.973;8875926 8668206 8016121 21513714 18275817 
Q14191;WRN;9606;P04637;TP53;9606;0.925;11427532 15735006 12080066 
Q86TM6;SYVN1;9606;P04637;TP53;9606;0.95;17170702 26254280 21903092 
Q92831;KAT2B;9606;P04637;TP53;9606;0.995;16678111 16537920 19680552 12501250 16959611 20589832 9744860 15965232 12068014 17189186 17977830 10490106 9891054 14614455 
Q96G74;OTUD5;9606;P04637;TP53;9606;0.925;24143256 19615732 25499082 
Q9H3D4;TP63;9606;P04637;TP53;9606;0.848;19345189 23687300 22575646 25417702 21741598 
P25490;YY1;9606;P04637;TP53;9606;0.93;15295102 18026119 25402006 22440256 15210108 
Q96KQ4;PPP1R13B;9606;Q02833;RASSF7;9606;0.416;26186194 28514442 24366813 
Q13625;TP53BP2;9606;P46937;YAP1;9606;0.988;11278422 24366813 25436413 24255178 10358088 
Q13625;TP53BP2;9606;P62136;PPP1CA;9606;0.932;22321011 21998301 28514442 27880917 15231748 21189257 26186194 24366813 28330616 
Q13625;TP53BP2;9606;P62807;HIST1H2BI;9606;0.454;25416956 
Q15796;SMAD2;9606;P04637;TP53;9606;0.865;25241761 25670079 19345189 12732139 23687300 19580641 
P51784;USP11;9606;P04637;TP53;9606;0.583;19615732 25471832 
Q9NPI1;BRD7;9606;P04637;TP53;9606;0.939;20228809 
Q9UBL3;ASH2L;9606;P04637;TP53;9606;0.523;23870121 
P04637;TP53;9606;O14965;AURKA;9606;0.953;26186194 23201157 14702041 12198151 28514442 
P38398;BRCA1;9606;P04637;TP53;9606;0.991;9926942 9482880 14710355 16969499 21742769 14636569 15571721 19509300 9582019 16677609 
P61289;PSME3;9606;P04637;TP53;9606;0.95;18309296 21084564 
Q07817;BCL2L1;9606;P04637;TP53;9606;0.971;16151013 24474649 20837658 14963330 21900206 12667443 26556313 
Q15291;RBBP5;9606;P04637;TP53;9606;0.623;15960975 23870121 
Q8TAQ5;ZNF420;9606;P04637;TP53;9606;0.937;20713054 19377469 
Q8NHY2;RFWD2;9606;P04637;TP53;9606;0.952;21625211 15103385 16931761 23736031 27534417 
Q96EB6;SIRT1;9606;P04637;TP53;9606;0.99;22389628 18235501 18235502 21149449 12006491 18753379 22689577 21245319 17964266 
Q99986;VRK1;9606;P04637;TP53;9606;0.946;15542844 10951572 24492002 11883897 29340707 
Q13625;TP53BP2;9606;P10415;BCL2;9606;0.955;18719108 8668206 
P23396;RPS3;9606;P04637;TP53;9606;0.765;19656744 
P23511;NFYA;9606;P04637;TP53;9606;0.928;15831478 16959611 23908595 
Q923E4;SIRT1;10090;P04637;TP53;9606;0.82;19680552 20167603 
Q92993;KAT5;9606;P04637;TP53;9606;0.948;16601686 17189186 18485870 17704809 23677994 18280244 15310756 
P06748;NPM1;9606;P04637;TP53;9606;0.97;16376884 15144954 12080348 16740634 15964625 23443559 
Q9UNL4;ING4;9606;P04637;TP53;9606;0.96;17954561 21177815 15251430 20053357 12750254 18775696 23967213 15882981 21454715 
Q9UNE7;STUB1;9606;P04637;TP53;9606;0.99;25144556 18223694 22254155 26330542 27807478 25543083 20618441 21268072 23134341 15001357 27775703 17666403 15911628 
P62988;UBA52;9606;P04637;TP53;9606;0.636;18359851 18695251 12640129 18413597 
P35354;PTGS2;9606;P04637;TP53;9606;0.96;21187340 16928824 19465063 11687965 15707991 
Q05086;UBE3A;9606;P04637;TP53;9606;0.998;8380895 11027293 1661671 9450543 26789255 29426014 23040663 16493710 7708685 7724550 9688277 12620801 19364824 8090726 17131388 
Q15672;TWIST1;9606;P04637;TP53;9606;0.972;18504427 22975381 25402006 
Q9H2X6;HIPK2;9606;P04637;TP53;9606;0.979;16212962 21057547 17349959 15896780 11740489 11925430 25313037 
Q8N726;CDKN2A;9606;P04637;TP53;9606;0.914;9724636 20395212 9653180 9529249 12640129 14612427 12446718 12740913 22653443 
Q12888;TP53BP1;9606;P04637;TP53;9606;0.997;20307547 15611139 12110597 22084066 11877378 8016121 26022179 22653443 12351827 15364958 14978302 27546791 
P29590;PML;9606;P04637;TP53;9606;0.991;12915590 21057547 22869143 15375079 20972456 11025664 14976551 16007146 11080164 25241761 
P0CG48;UBC;9606;P04637;TP53;9606;0.982;17170702 23606744 18388957 18566590 25168242 17568776 17268548 17290220 17139261 19098711 19536131 19798103 18309296 17159902 19619542 25471832 
Q96KQ4;PPP1R13B;9606;P62136;PPP1CA;9606;0.905;22321011 28330616 21998301 27880917 15231748 26186194 24366813 unassigned1304 
P63279;UBE2I;9606;P04637;TP53;9606;0.999;16122737 8921390 19684601 12565873 15327968 23202365 21829513 22214662 23772552 17060459 10562557 10788439 16442531 10380882 18624398 10961991 11853669 17709345 
Q13526;PIN1;9606;P04637;TP53;9606;0.99;17906639 12388558 12397362 21741598 21900206 
Q8WUF5;PPP1R13L;9606;P04637;TP53;9606;0.96;17906639 23623661 12524540 21513714 18275817 23443559 20840860 
Q96PM5;RCHY1;9606;P04637;TP53;9606;1;12654245 21791603 17568776 21988832 20452352 24367557 19043414 19483087 25116336 21084285 
Q8IWT3;CUL9;9606;P04637;TP53;9606;0.989;17229476 17332328 26186194 23443559 18230339 17380154 12526791 16875676 22653443 25609649 21487039 28514442 
P08047;SP1;9606;P04637;TP53;9606;0.995;15710382 18765668 15674334 9492043 21325822 8463313 9685344 16740634 12665570 23650532 19846904 15574328 20570896 
P78527;PRKDC;9606;P04637;TP53;9606;0.943;10608806 10713094 19918261 9679063 12756247 25362358 9744860 9363941 
P04637;TP53;9606;P03070;P03070;1891767;0.998;8388547 19008854 16951253 15068796 23320542 1321290 22810585 16003391 22810586 10226625 15310821 9050995 16611888 15254196 17612295 9807817 17662718 8344494 
