Protein A;Gene A;Taxon A;Protein B;Gene B;Taxon B;Score;PMID
Q13547;HDAC1;9606;P04637;TP53;9606;0.999;11313951 16959611 18765668 16107876 10521394 12426395 11099047 14976551 19303885 25241761 20633551 16697957 20075864 17827154 19011633 10777477 
Q14999;CUL7;9606;P04637;TP53;9606;0.997;16547496 17229476 17332328 28514442 26186194 23443559 16875676 17942889 22653443 25609649 17298945 
Q13625;TP53BP2;9606;P36873;PPP1CC;9606;0.976;25416956 23080069 21998301 21988832 28514442 27880917 26186194 24366813 28330616 21382349 18448430 
Q9UER7;DAXX;9606;P04637;TP53;9606;1;25241761 16845383 23038753 12954772 15364927 15339933 21482821 14557665 12482984 
Q93009;USP7;9606;P04637;TP53;9606;1;26460617 21170034 17268548 16474402 20713061 22653443 16402859 14506283 23388826 16845383 17525743 24462112 26238070 15916963 22084066 17380154 20816748 11923872 21845734 
Q92793;CREBBP;9606;P04637;TP53;9606;1;10551785 16537920 23908595 25451029 10196247 14722092 14759370 18753379 27618436 19166313 26976603 18485870 25314079 19880525 22084066 11782467 12154097 9194564 20962272 10823891 12426395 19805293 10848610 19357310 9288775 21390126 17434128 15632413 
Q13315;ATM;9606;P04637;TP53;9606;0.999;10713094 24469230 14744854 9843217 10744722 23907539 15790808 11459832 19965871 21383020 15159397 17409407 10864201 15064416 25086746 15632067 10608806 
Q09472;EP300;9606;P04637;TP53;9606;1;16782091 15664194 19217391 9744860 23307557 11907332 22731250 15965232 23329847 17438265 19234109 21187340 16928824 15337767 23728348 18391200 19805293 11359905 23870121 9194565 10518217 23402884 21471221 25156994 26625199 16024799 25753752 11782467 9194564 15295102 26229107 16537920 20234175 12501250 23010591 16959611 18243116 26302407 14759370 12690203 15186775 15542844 10490106 9891054 9288740 14612423 16543236 25288747 19218448 16678111 15509808 11070080 12162806 11433299 18612383 23796514 15558054 16611888 17906639 17977830 17452980 24157709 11804596 16135789 23880760 25867071 9809062 27818144 22074660 24821727 12724314 17189186 19339993 18485870 
P04637;TP53;9606;O15151;MDM4;9606;1;10827196 26148237 23028042 20705607 18485870 22266850 19153082 19521340 21925390 11223036 22374672 10608892 10075736 23946421 25825738 20515689 9226370 20724842 16024788 21088494 19432880 17301054 16227609 23671280 21075307 28514442 15604276 15916963 26186194 18677113 25464845 21965653 24127580 19075013 19305137 17875722 12370303 25609649 19255450 12874296 12393902 26876197 24659749 22807444 27114532 20174603 24445145 
P04637;TP53;9606;P04637;TP53;9606;1;20235143 27462439 16009130 25402006 8035799 20004160 22522597 18414054 19339993 25609649 24037342 21988832 24722987 19667193 19011633 17612295 21231916 11254385 17332328 25603536 14580323 21522129 20159469 18087040 22653443 21084564 22819825 15383276 16291740 20080206 
Q00987;MDM2;9606;P04637;TP53;9606;1;22262183 16905769 22301280 26203195 21584881 19153082 10321734 14704432 20542919 20047188 18566590 21887275 22948151 11278372 17908790 24361594 21317885 19411066 18604177 26540344 20124408 20080206 16579792 19160491 23261415 10488081 17989425 17875722 17098746 15824742 19255450 27031960 24659749 11046142 17159902 11351297 25277184 12612087 22487680 18172499 19568783 11486026 24643130 26908445 21084285 18467333 15313915 17380154 27282385 20235143 16866370 15908921 25103245 17268548 11112690 23609977 15064742 16023600 21726810 17302414 21925390 19597489 23252402 26475964 15210108 14559824 17056014 17347673 25241761 21572037 21261729 26882543 22227409 21986495 12897156 19590512 12690203 22737255 20639885 22807444 25384516 16432196 14517261 17297477 21561866 16159876 11178989 10347217 16173922 15558054 11697899 21088494 16845383 17301054 21071676 24314634 18234963 15604276 14612427 12208736 9809062 22124327 19188367 22389628 10827196 14499615 12529318 16964247 19085961 22032989 10640350 17318220 21149449 25624478 26238070 12842086 24240685 27215386 28223335 18981217 24488098 17848574 17310983 9724739 21132010 16870621 17139261 19098711 11713288 23671280 27543608 22084066 20588255 19332559 15295102 15550400 11285227 22331460 19166840 20659896 21478269 26001071 15848166 11572869 22085928 25362358 17426254 19305137 22083959 12552135 25609649 24462112 26876197 10722742 17616658 20174603 9363941 24621507 20962272 23370271 20694676 17116689 18223694 9450543 10435614 27807478 22391559 7926727 15950904 23880345 20847049 23134341 11597128 20479273 22653443 19941302 11431470 21084564 15154850 23246961 11562347 12620407 22588298 21454483 12915590 16624812 15058298 16751805 26883110 14702041 21471462 27129163 19483087 26556313 20959462 25739118 22411991 11714701 18485870 17936559 21060154 27308622 18332869 22266850 20484049 22525275 15933712 11223036 10608892 23201157 19656744 16107876 23572512 23728348 15013777 22575647 19071110 16861890 21465263 22474335 15280377 18541670 15144954 20657550 21098709 19106616 19303885 12167711 8058315 19411846 25313037 16414131 9271120 15053879 25417702 15094782 22157679 12381304 20234175 19857530 18813780 27893708 11744695 14741215 10196247 19033382 11094089 27811966 22920093 24127580 23150668 17470788 23826318 20591429 15542844 20570896 7686617 24567357 17666403 17363365 26350565 18309296 19837670 14671306 9582019 10980696 25168242 24842904 23802716 11070080 23946421 20837658 9824166 19081178 18665269 11925449 15122315 8875929 23443559 25637791 16215989 1614537 15001357 25512388 17591690 24200963 9529249 17525743 10561590 15308643 24926618 16547496 9278461 23169665 15242646 12944468 26673821 28082682 21988832 18815136 25543083 22659184 22374672 16212962 22975381 20173098 21750659 21268072 18316739 22819825 22912717 25156994 22444248 23776465 22318540 16331255 26578655 27462439 25312347 25464845 16595680 16857591 19816404 24980433 23776060 22103682 16055726 20660730 10562557 22366412 23318437 16152627 9131587 7689721 12426395 27336364 17290220 20708156 16678796 19357310 20591651 28514442 23483203 21316347 26186194 24998844 19223463 16338390 25954860 20395212 10766163 27106262 24413661 20705607 10889512 22916255 17369817 23402884 21075307 18061646 22510990 9223638 21965653 22266868 10681559 11709713 11839577 27856536 22914926 11384992 
Q9H6Z9;EGLN3;9606;P04637;TP53;9606;0.126;26972000 
Q9UBE0;SAE1;9606;P04637;TP53;9606;0.033;15327968 
Q9UBK2;PPARGC1A;9606;P04637;TP53;9606;0.569;22099309 
P04637;TP53;9606;F1D8N7;NR1A2;9606;0.033;8633054 
Q9UBZ9;REV1;9606;P04637;TP53;9606;0.21;25614517 
Q9UI36;DACH1;9606;P04637;TP53;9606;0.376;23798621 
Q9UII4;HERC5;9606;P04637;TP53;9606;0.21;25071020 
Q9UJW3;DNMT3L;9606;P04637;TP53;9606;0.183;24952347 
Q9UK39;CCRN4L;9606;O75414;NME6;9606;0.126;28514442 
Q9UK80;USP21;9606;P04637;TP53;9606;0.309;27561390 
Q9UKB1;FBXW11;9606;P04637;TP53;9606;0.126;25515538 
Q9UKG1;APPL1;9606;P04637;TP53;9606;0.286;25814554 
Q9H8V3;ECT2;9606;P04637;TP53;9606;0.126;22990118 
Q9UKV0;HDAC9;9606;P04637;TP53;9606;0.21;20947501 
Q9UL15;BAG5;9606;P04637;TP53;9606;0.623;25144556 27807478 
Q9UL18;AGO1;9606;P04637;TP53;9606;0.236;20308539 24778252 
Q9NPB6;PARD6A;9606;Q13625;TP53BP2;9606;0.126;26496610 
Q9ULC6;PADI1;9606;P04637;TP53;9606;0.286;25402006 
Q9NPJ6;MED4;9606;Q13625;TP53BP2;9606;0.126;25281560 
Q9UM11;FZR1;9606;P04637;TP53;9606;0.309;10922056 
Q9UM63;PLAGL1;9606;P04637;TP53;9606;0.309;11360197 
Q9UMS4;PRPF19;9606;Q13625;TP53BP2;9606;0.126;28514442 
Q9PST7;ZNF585B;8355;P04637;TP53;9606;0.454;18510931 
Q9QJ49;U14;32604;P04637;TP53;9606;0.21;26340541 
Q9QR71;ORF73;37296;P04637;TP53;9606;0.309;17069461 
Q9UN86;G3BP2;9606;P04637;TP53;9606;0.569;17297477 
Q9UNF1;MAGED2;9606;P04637;TP53;9606;0.309;17912449 23443559 
Q9UPU5;USP24;9606;P04637;TP53;9606;0.309;25578727 
Q9UPW0;FOXJ3;9606;P04637;TP53;9606;0.126;25609649 
Q9NQR1;SETD8;9606;P04637;TP53;9606;0.309;17707234 
P04637;TP53;9606;O00231;PSMD11;9606;0.286;16169070 
Q9UQR1;ZNF148;9606;P04637;TP53;9606;0.454;11416144 
Q9NR09;BIRC6;9606;P04637;TP53;9606;0.376;25196217 
Q9NR12;PDLIM7;9606;P04637;TP53;9606;0.569;21060154 
Q9NRM7;LATS2;9606;Q13625;TP53BP2;9606;0.126;24255178 
Q9HB09;BCL2L12;9606;P04637;TP53;9606;0.309;20837658 
Q9HBE1;PATZ1;9606;P04637;TP53;9606;0.659;24336083 25755280 
Q9NSC5;HOMER3;9606;P04637;TP53;9606;0.126;28514442 
Q9NVC6;MED17;9606;P04637;TP53;9606;0.309;10198638 
Q9NVN8;GNL3L;9606;P04637;TP53;9606;0.376;21132010 
Q9HCE1;MOV10;9606;Q96KQ4;PPP1R13B;9606;0.126;22658674 
P04637;TP53;9606;O14576;DYNC1I1;9606;0.21;16616141 
Q9HCE7;SMURF1;9606;P04637;TP53;9606;0.21;20484049 
Q9Y222;DMTF1;9606;P04637;TP53;9606;0.376;22331460 
Q9NX55;HYPK;9606;P04637;TP53;9606;0.126;23272104 
Q9Y297;BTRC;9606;P04637;TP53;9606;0.376;19196987 21521785 
Q9Y2B4;TP53TG5;9606;P05067;APP;9606;0.332;21244100 21832049 
Q9Y2B4;TP53TG5;9606;P49356;FNTB;9606;0.126;28514442 
Q9Y2B4;TP53TG5;9606;P61289;PSME3;9606;0.126;28514442 
Q9Y2B4;TP53TG5;9606;Q9GZU8;FAM192A;9606;0.126;28514442 
Q9Y4B6;VPRBP;9606;Q9Y2B4;TP53TG5;9606;0.126;28514442 
P04637;TP53;9606;O14867;BACH1;9606;0.569;19011633 
Q9HCI7;MSL2;9606;P04637;TP53;9606;0.569;19033443 
Q9HCK8;CHD8;9606;P04637;TP53;9606;0.21;19151705 
Q9NZJ0;DTL;9606;P04637;TP53;9606;0.21;16861890 
Q9Y4E8;USP15;9606;P04637;TP53;9606;0.376;27893708 
Q9Y5A7;NUB1;9606;P04637;TP53;9606;0.376;20101219 
P05109;S100A8;9606;P04637;TP53;9606;0.286;16169070 
Q9NRR4;DROSHA;9606;P04637;TP53;9606;0.21;24219989 
Q9NRG4;SMYD2;9606;P04637;TP53;9606;0.583;25609649 18065756 17108971 
Q9NVI7;ATAD3A;9606;P04637;TP53;9606;0.126;22653443 
Q9NS37;CREBZF;9606;P04637;TP53;9606;0.21;24200963 
Q9NTK5;OLA1;9606;P04637;TP53;9606;0.126;22653443 
P04637;TP53;9606;O14980;XPO1;9606;0.376;18952844 17268548 
P04637;TP53;9606;P04015;E2;10580;0.126;22761572 
Q9NZC9;SMARCAL1;9606;P04637;TP53;9606;0.126;22653443 
Q9NR11;ZNF302;9606;P04637;TP53;9606;0.309;18307271 
Q9NY65;TUBA8;9606;P04637;TP53;9606;0.126;25144556 
Q9NYK5;MRPL39;9606;P04637;TP53;9606;0.126;23443559 
Q9UKY1;ZHX1;9606;P04637;TP53;9606;0.183;15383276 
Q9P0U3;SENP1;9606;P04637;TP53;9606;0.21;19339993 
Q9NZN9;AIPL1;9606;P04637;TP53;9606;0.332;unassigned1312 27173435 
Q9HCM9;TRIM39;9606;P04637;TP53;9606;0.569;23213260 
Q9P2P5;HECW2;9606;P04637;TP53;9606;0.21;12890487 
P04637;TP53;9606;P04019;E6;10580;0.671;8207801 11907332 15175323 
Q9UBL6;CPNE7;9606;P04637;TP53;9606;0.126;23443559 
Q9UBB9;TFIP11;9606;P04637;TP53;9606;0.569;26460617 
Q9NP81;SARS2;9606;P04637;TP53;9606;0.126;22653443 
Q9UKJ3;GPATCH8;9606;P04637;TP53;9606;0.126;23443559 
Q9UFV9;DKFZP434J046;9606;P04637;TP53;9606;0.126;22653443 
Q9UKV8;AGO2;9606;P04637;TP53;9606;0.126;20308539 
Q9UJ04;TSPYL4;9606;P04637;TP53;9606;0.126;22653443 
Q9UHB6;LIMA1;9606;P04637;TP53;9606;0.126;25144556 
Q9UK53;ING1;9606;P04637;TP53;9606;0.507;19085961 12208736 9440695 
Q96KQ4;PPP1R13B;9606;O43255;SIAH2;9606;0.569;23644657 
Q9UKT5;FBXO4;9606;P04637;TP53;9606;0.21;19343786 
Q9UKN8;GTF3C4;9606;P04637;TP53;9606;0.126;23443559 
Q9UM54;MYO6;9606;P04637;TP53;9606;0.126;25144556 
P04637;TP53;9606;O43293;DAPK3;9606;0.309;15001356 
Q9Y3P9;RABGAP1;9606;P04637;TP53;9606;0.126;22653443 
Q9UNX3;RPL26L1;9606;P04637;TP53;9606;0.126;23443559 
Q9ULT8;HECTD1;9606;P04637;TP53;9606;0.126;23443559 
Q9ULV4;CORO1C;9606;P04637;TP53;9606;0.126;25144556 
O75414;NME6;9606;O43323;DHH;9606;0.126;28514442 
P05412;JUN;9606;P04637;TP53;9606;0.126;25609649 
Q9NZM5;GLTSCR2;9606;P04637;TP53;9606;0.569;22522597 
Q9Y3D9;MRPS23;9606;P04637;TP53;9606;0.126;23443559 
Q9WYW0;COBB;2336;P04637;TP53;9606;0.309;16905097 
P04637;TP53;9606;O43422;PRKRIR;9606;0.309;12384512 
Q9X365;Q9X365;1392;P04637;TP53;9606;0.126;20711500 
Q9Y294;ASF1A;9606;P04637;TP53;9606;0.126;20308539 
Q9Y399;MRPS2;9606;P04637;TP53;9606;0.126;23443559 
Q9Y2W1;THRAP3;9606;P04637;TP53;9606;0.126;25144556 
Q9Y2S7;POLDIP2;9606;P04637;TP53;9606;0.126;23443559 
Q9Y2Q9;MRPS28;9606;P04637;TP53;9606;0.126;23443559 
Q9Y4A5;TRRAP;9606;P04637;TP53;9606;0.623;18250150 12138177 
Q9Y676;MRPS18B;9606;P04637;TP53;9606;0.126;23443559 
Q9Y3T9;NOC2L;9606;P04637;TP53;9606;0.507;16322561 20959462 
Q9Y4B6;VPRBP;9606;P04637;TP53;9606;0.309;22184063 
Q9Y520;PRRC2C;9606;P04637;TP53;9606;0.126;23443559 
Q9Y618;NCOR2;9606;P04637;TP53;9606;0.794;24449765 
Q9Y5Q9;GTF3C3;9606;P04637;TP53;9606;0.126;23443559 
Q9Y6Q9;NCOA3;9606;P04637;TP53;9606;0.309;10551785 
P04637;TP53;9606;O15105;SMAD7;9606;0.21;17172861 
P04637;TP53;9606;O43593;HR;9606;0.376;27355563 
P17096;HMGA1;9606;P04637;TP53;9606;0.376;20335021 
P04637;TP53;9606;O15126;SCAMP1;9606;0.376;16713569 
P04637;TP53;9606;O43623;SNAI2;9606;0.21;23851495 
P20042;EIF2S2;9606;P04637;TP53;9606;0.286;16169070 
P20065;TMSB4X;10090;P04637;TP53;9606;0.183;16169070 
P20073;ANXA7;9606;P04637;TP53;9606;0.332;21900206 
Q13625;TP53BP2;9606;O43741;PRKAB2;9606;0.183;24722188 
P20248;CCNA2;9606;P04637;TP53;9606;0.309;10884347 
Q6ZU80;CEP128;9606;P04637;TP53;9606;0.126;26638075 
Q6ZU80;CEP128;9606;Q13625;TP53BP2;9606;0.126;26638075 
Q96KQ4;PPP1R13B;9606;Q6ZU80;CEP128;9606;0.126;26638075 
P20338;RAB4A;9606;P04637;TP53;9606;0.286;16169070 
P06400;RB1;9606;P04637;TP53;9606;0.454;20871633 8083962 
P06422;E2;10579;P04637;TP53;9606;0.126;22761572 
P06423;E2 {ECO:0000255|HAMAP-RULE:MF_04001};10586;P04637;TP53;9606;0.126;22761572 
P19544;WT1;9606;P04637;TP53;9606;0.454;8389468 9556563 
Q13625;TP53BP2;9606;P21246;PTN;9606;0.286;16169070 
P17386;E6;10585;P04637;TP53;9606;0.309;8207801 
Q96KQ4;PPP1R13B;9606;Q6VGT1;E4 {ECO:0000313|EMBL:AAW65532.1};28285;0.126;22810586 
Q76LV2;HSP90AA1;9913;P04637;TP53;9606;0.309;15358769 
Q77M19;P;132487;P04637;TP53;9606;0.126;21911578 
Q77UU1;Q77UU1;31552;P04637;TP53;9606;0.126;22761572 
O75414;NME6;9606;O60232;SSSCA1;9606;0.332;21988832 
Q96KQ4;PPP1R13B;9606;O60232;SSSCA1;9606;0.126;28514442 
P21673;SAT1;9606;P04637;TP53;9606;0.286;16169070 
P06790;E2;333761;P04637;TP53;9606;0.126;22761572 
P06921;E2 {ECO:0000255|HAMAP-RULE:MF_04001};333923;P04637;TP53;9606;0.126;22761572 
Q13625;TP53BP2;9606;O60308;CEP104;9606;0.126;26638075 
P04637;TP53;9606;O15391;YY2;9606;0.286;25402006 
P04637;TP53;9606;O60477;BRINP1;9606;0.21;25732823 
P04637;TP53;9606;O60481;ZIC3;9606;0.286;25402006 
P21980;TGM2;9606;P04637;TP53;9606;0.376;27031960 
P04637;TP53;9606;O60551;NMT2;9606;0.376;16530191 
P17844;DDX5;9606;P04637;TP53;9606;0.523;24219989 23443559 25144556 
P04637;TP53;9606;O60678;PRMT3;9606;0.126;21942715 
P04637;TP53;9606;O15524;SOCS1;9606;0.569;20005840 
P19338;NCL;9606;P04637;TP53;9606;0.858;26238070 22103682 12138209 
P17980;PSMC3;9606;P04637;TP53;9606;0.21;20479273 
Q7TSJ6;LATS2;10090;Q13625;TP53BP2;9606;0.081;24255178 
Q96KQ4;PPP1R13B;9606;Q7TSJ6;LATS2;10090;0.081;24255178 
P07948;LYN;9606;P04637;TP53;9606;0.376;12642697 
P04637;TP53;9606;P04489;P04489;28285;0.033;8633237 
P08069;IGF1R;9606;P04637;TP53;9606;0.21;19165858 
P08107;HSPA1B;9606;P04637;TP53;9606;0.126;25241761 
P08138;NGFR;9606;P04637;TP53;9606;0.569;27282385 
Q6P5F9;XPO1;10090;P04637;TP53;9606;0.21;18952844 
P08238;HSP90AB1;9606;P04637;TP53;9606;0.236;22939624 23443559 
P23297;S100A1;9606;P04637;TP53;9606;0.523;20591429 
Q7Z4N8;P4HA3;9606;Q13625;TP53BP2;9606;0.126;28514442 
P08559;PDHA1;9606;P04637;TP53;9606;0.126;29128334 
P18146;EGR1;9606;P04637;TP53;9606;0.702;21325822 11251186 14744935 15225550 
P04637;TP53;9606;O75150;RNF40;9606;0.236;19410543 
P04637;TP53;9606;O75164;KDM4A;9606;0.21;23871696 
Q7Z7E8;UBE2Q1;9606;P04637;TP53;9606;0.569;25987028 
Q6VAB6;KSR2;9606;P04637;TP53;9606;0.126;27086506 
P19447;ERCC3;9606;P04637;TP53;9606;0.82;12379483 7663514 8612585 
P05067;APP;9606;O75414;NME6;9606;0.183;21832049 
P04637;TP53;9606;O75469;NR1I2;9606;0.21;23536728 
Q96KQ4;PPP1R13B;9606;O75525;KHDRBS3;9606;0.309;16474851 
P04637;TP53;9606;O75665;OFD1;9606;0.126;26638075 
Q81RG7;Q81RG7;1392;P04637;TP53;9606;0.126;20711500 
Q96KQ4;PPP1R13B;9606;P25054;APC;9606;0.286;20936779 
P09884;POLA1;9606;P04637;TP53;9606;0.21;11917009 
Q81ZG1;LIGA;1392;Q13625;TP53BP2;9606;0.126;20711500 
P09936;UCHL1;9606;P04637;TP53;9606;0.376;20395212 18666234 
P25208;NFYB;9606;P04637;TP53;9606;0.61;15831478 16959611 
P0DP91;CSB-PGBD3 {ECO:0000303|PUBMED:18369450};9606;P04637;TP53;9606;0.765;22032989 10882116 7663514 
P04637;TP53;9606;O60488;ACSL4;9606;0.126;23443559 
P12429;ANXA3;9606;P04637;TP53;9606;0.286;16169070 
Q9H7Z6;KAT8;9606;P04637;TP53;9606;0.74;16601686 15960975 19854137 17189187 
P62990;UBA52;9913;P04637;TP53;9606;0.21;20705607 
P04637;TP53;9606;O14744;PRMT5;9606;0.126;25144556 
P04637;TP53;9606;B2R6D7;B2R6D7;9606;0.126;22653443 
P04637;TP53;9606;A6NJU9;A6NJU9;9606;0.126;20308539 
P04637;TP53;9606;B2R5M9;B2R5M9;9606;0.126;22653443 
P04637;TP53;9606;O00159;MYO1C;9606;0.126;25144556 
P04637;TP53;9606;B4DVN3;MAEA;9606;0.126;22653443 
P04637;TP53;9606;J3KN53;J3KN53;9606;0.126;25609649 
P04637;TP53;9606;O00571;DDX3X;9606;0.126;25144556 
P04637;TP53;9606;O00255;MEN1;9606;0.309;15960975 
P04637;TP53;9606;O00425;IGF2BP3;9606;0.126;23443559 
P04637;TP53;9606;O14737;PDCD5;9606;0.702;22914926 25499082 
P04637;TP53;9606;O00746;NME4;9606;0.126;25144556 
P04637;TP53;9606;O14654;IRS4;9606;0.126;23443559 
P04637;TP53;9606;O60343;TBC1D4;9606;0.126;23443559 
P04637;TP53;9606;O14974;PPP1R12A;9606;0.126;25144556 
P04637;TP53;9606;O15111;CHUK;9606;0.21;17434128 
P04637;TP53;9606;O15355;PPM1G;9606;0.126;22653443 
P04637;TP53;9606;O15164;TRIM24;9606;0.61;19556538 22389628 24820418 
P04637;TP53;9606;O15350;TP73;9606;0.569;25417702 21508668 9802988 
P04637;TP53;9606;O15205;UBD;9606;0.21;21396347 
P04637;TP53;9606;O15304;SIVA1;9606;0.507;19590512 25431847 
P04637;TP53;9606;O43257;ZNHIT1;9606;0.309;17380123 
P04637;TP53;9606;O43189;PHF1;9606;0.569;18385154 27705803 23150668 
P04637;TP53;9606;O15550;KDM6A;9606;0.21;24078252 
P04637;TP53;9606;O43837;IDH3B;9606;0.126;23443559 
P04637;TP53;9606;O43504;LAMTOR5;9606;0.569;26229107 
P04637;TP53;9606;O43261;DLEU1;9606;0.126;16169070 
P04637;TP53;9606;O43290;SART1;9606;0.126;23443559 
P04637;TP53;9606;O43819;SCO2;9606;0.126;23443559 
P04637;TP53;9606;O43715;TRIAP1;9606;0.21;15735003 
P04637;TP53;9606;O60573;EIF4E2;9606;0.126;23443559 
P04637;TP53;9606;O60568;PLOD3;9606;0.126;22653443 
P04637;TP53;9606;O75478;TADA2A;9606;0.21;18250150 
P04637;TP53;9606;O96019;ACTL6A;9606;0.376;17878219 
P04637;TP53;9606;O60675;MAFK;9606;0.21;19011633 
P04637;TP53;9606;O60841;EIF5B;9606;0.126;25144556 
P04637;TP53;9606;O75460;ERN1;9606;0.21;26254280 
P04637;TP53;9606;O60763;USO1;9606;0.21;21147777 
P04637;TP53;9606;O60783;MRPS14;9606;0.126;23443559 
P04637;TP53;9606;O60884;DNAJA2;9606;0.126;23443559 
P04637;TP53;9606;O75340;PDCD6;9606;0.126;23443559 
P04637;TP53;9606;O75190;DNAJB6;9606;0.126;20308539 
P04637;TP53;9606;O75832;PSMD10;9606;0.21;16023600 
P04637;TP53;9606;O75486;SUPT3H;9606;0.21;18250150 
P04637;TP53;9606;O75529;TAF5L;9606;0.21;18250150 
P04637;TP53;9606;O94952;FBXO21;9606;0.126;23443559 
P04637;TP53;9606;O95997;PTTG1;9606;0.702;12355087 19117984 
P04637;TP53;9606;O94864;SUPT7L;9606;0.21;18250150 
P04637;TP53;9606;O75970;MPDZ;9606;0.236;22653443 
P04637;TP53;9606;O88898;TP63;10090;0.507;22575646 19345189 
P04637;TP53;9606;O94992;HEXIM1;9606;0.376;22948151 
P04637;TP53;9606;O95229;ZWINT;9606;0.126;23443559 
P04637;TP53;9606;O95905;ECD;9606;0.21;23880345 
P04637;TP53;9606;O95571;ETHE1;9606;0.376;17353187 
P05549;TFAP2A;9606;P04637;TP53;9606;0.671;12226108 
P11766;ADH5;9606;P04637;TP53;9606;0.126;20308539 
P04637;TP53;9606;P02794;FTH1;9606;0.126;23443559 
P04637;TP53;9606;P01019;AGT;9606;0.309;22416758 
P04637;TP53;9606;P00491;PNP;9606;0.286;16169070 
P04637;TP53;9606;P02786;TFRC;9606;0.126;23443559 
P04637;TP53;9606;P02511;CRYAB;9606;0.376;19343786 19799611 
P04637;TP53;9606;P02545;LMNA;9606;0.236;29568061 25144556 
P04637;TP53;9606;P04406;GAPDH;9606;0.21;18552833 
P05387;RPLP2;9606;P04637;TP53;9606;0.126;23443559 
P04637;TP53;9606;P04183;TK1;9606;0.523;21900206 16169070 
P04637;TP53;9606;P03950;ANG;9606;0.376;22266868 
P04637;TP53;9606;P04608;TAT;11676;0.309;12501250 
P05141;SLC25A5;9606;P04637;TP53;9606;0.126;25144556 
P07355;ANXA2;9606;P04637;TP53;9606;0.309;9315650 
P06396;GSN;9606;P04637;TP53;9606;0.126;25144556 
P08670;VIM;9606;P04637;TP53;9606;0.126;25144556 
P06753;TPM3;9606;P04637;TP53;9606;0.126;25144556 
P07384;CAPN1;9606;P04637;TP53;9606;0.126;23443559 
P0A6Y8;DNAK;83333;P04637;TP53;9606;0.309;20153329 
P09496;CLTA;9606;P04637;TP53;9606;0.126;25144556 
P09493;TPM1;9606;P04637;TP53;9606;0.126;25144556 
P09497;CLTB;9606;P04637;TP53;9606;0.126;25144556 
P10809;HSPD1;9606;P04637;TP53;9606;0.21;22726440 
P39023;RPL3;9606;P04637;TP53;9606;0.126;23443559 
P14921;ETS1;9606;P04637;TP53;9606;0.61;18374905 24857950 14586398 
P14866;HNRNPL;9606;P04637;TP53;9606;0.126;25144556 
