Protein A;Gene A;Taxon A;Protein B;Gene B;Taxon B;Score;PMID
P12956;XRCC6;9606;P04637;TP53;9606;0.376;15782130 
P13497;BMP1;9606;P04637;TP53;9606;0.332;18624398 
P15735;PHKG2;9606;P04637;TP53;9606;0.126;23443559 
P16104;H2AFX;9606;P04637;TP53;9606;0.376;16322227 
P15036;ETS2;9606;P04637;TP53;9606;0.507;18374905 26871468 
P15941;MUC1;9606;P04637;TP53;9606;0.523;15710329 
P15884;TCF4;9606;P04637;TP53;9606;0.454;25609649 25402006 
P19784;CSNK2A2;9606;P04637;TP53;9606;0.126;22653443 
P17028;ZNF24;9606;P04637;TP53;9606;0.286;16169070 
P17066;HSPA6;9606;P04637;TP53;9606;0.126;25144556 
P17676;CEBPB;9606;P04637;TP53;9606;0.454;16227626 
P18124;RPL7;9606;P04637;TP53;9606;0.126;23443559 
P10275;AR;9606;P04637;TP53;9606;0.309;19481544 
P22314;UBA1;9606;P04637;TP53;9606;0.033;29187402 
P21333;FLNA;9606;P04637;TP53;9606;0.126;25144556 
P27695;APEX1;9606;P04637;TP53;9606;0.376;9119221 15824742 
P21675;TAF1;9606;P04637;TP53;9606;0.659;10359315 15053879 
P22087;FBL;9606;P04637;TP53;9606;0.126;23443559 
P39019;RPS19;9606;P04637;TP53;9606;0.126;25144556 
P22061;PCMT1;9606;P04637;TP53;9606;0.126;23443559 
P24844;MYL9;9606;P04637;TP53;9606;0.126;20308539 
P22626;HNRNPA2B1;9606;P04637;TP53;9606;0.126;23443559 
P23258;TUBG1;9606;P04637;TP53;9606;0.126;23443559 
P24385;CCND1;9606;P04637;TP53;9606;0.21;27129163 
P25705;ATP5A1;9606;P04637;TP53;9606;0.126;23443559 
P27348;YWHAQ;9606;P04637;TP53;9606;0.126;22653443 
P26373;RPL13;9606;P04637;TP53;9606;0.126;23443559 
P31943;HNRNPH1;9606;P04637;TP53;9606;0.126;23443559 
P27708;CAD;9606;P04637;TP53;9606;0.126;23443559 
P29034;S100A2;9606;P04637;TP53;9606;0.523;20591429 
P30050;RPL12;9606;P04637;TP53;9606;0.126;23443559 
P35249;RFC4;9606;P04637;TP53;9606;0.126;23443559 
P35544;FAU;9606;P04637;TP53;9606;0.126;23443559 
P36578;RPL4;9606;P04637;TP53;9606;0.309;23443559 26908445 
P35579;MYH9;9606;P04637;TP53;9606;0.126;25144556 
P36405;ARL3;9606;P04637;TP53;9606;0.286;16169070 
P42677;RPS27;9606;P04637;TP53;9606;0.126;23443559 
P40121;CAPG;9606;P04637;TP53;9606;0.309;18307271 
P62979;RPS27A;9606;P04637;TP53;9606;0.309;22653443 21561866 
P40337;VHL;9606;P04637;TP53;9606;0.623;16678111 21942715 
P42226;STAT6;9606;P04637;TP53;9606;0.309;20121258 
P41182;BCL6;9606;P04637;TP53;9606;0.286;25402006 
P40925;MDH1;9606;P04637;TP53;9606;0.623;19229245 
P40938;RFC3;9606;P04637;TP53;9606;0.126;23443559 
P42773;CDKN2C;9606;P04637;TP53;9606;0.286;16169070 
P46019;PHKA2;9606;P04637;TP53;9606;0.126;23443559 
P46781;RPS9;9606;P04637;TP53;9606;0.126;23443559 
P45983;MAPK8;9606;P04637;TP53;9606;0.958;15538975 18813780 9732264 19651615 15580310 9724739 9393873 11108663 12514174 
P45481;CREBBP;10090;P04637;TP53;9606;0.583;19651603 18485870 
P46779;RPL28;9606;P04637;TP53;9606;0.126;25144556 
P46379;BAG6;9606;P04637;TP53;9606;0.126;22653443 
P46778;RPL21;9606;P04637;TP53;9606;0.126;23443559 
P48634;PRRC2A;9606;P04637;TP53;9606;0.126;23443559 
P47811;MAPK14;10090;P04637;TP53;9606;0.21;21050851 
P46940;IQGAP1;9606;P04637;TP53;9606;0.126;23443559 
P47756;CAPZB;9606;P04637;TP53;9606;0.126;25144556 
P49674;CSNK1E;9606;P04637;TP53;9606;0.196;25241761 
P49336;CDK8;9606;P04637;TP53;9606;0.309;10024883 
P49902;NT5C2;9606;P04637;TP53;9606;0.126;22653443 
P49888;SULT1E1;9606;P04637;TP53;9606;0.286;16169070 
P50453;SERPINB9;9606;P04637;TP53;9606;0.286;16169070 
P49915;GMPS;9606;P04637;TP53;9606;0.376;24462112 
P49918;CDKN1C;9606;P04637;TP53;9606;0.21;12665691 
P50914;RPL14;9606;P04637;TP53;9606;0.126;23443559 
P50613;CDK7;9606;P04637;TP53;9606;0.74;9372954 9315650 9840937 
P50552;VASP;9606;P04637;TP53;9606;0.126;23443559 
P51965;UBE2E1;9606;P04637;TP53;9606;0.033;29187402 
P51946;CCNH;9606;P04637;TP53;9606;0.454;9840937 
P51959;CCNG1;9606;P04637;TP53;9606;0.569;12642871 12556559 
P54652;HSPA2;9606;P04637;TP53;9606;0.126;25144556 
P61962;DCAF7;9606;P04637;TP53;9606;0.126;23443559 
P54252;ATXN3;9606;P04637;TP53;9606;0.74;27851749 
P52701;MSH6;9606;P04637;TP53;9606;0.21;15064730 
P52597;HNRNPF;9606;P04637;TP53;9606;0.126;23443559 
P53355;DAPK1;9606;P04637;TP53;9606;0.376;17339337 
P53779;MAPK10;9606;P04637;TP53;9606;0.21;9393873 
P61626;LYZ;9606;P04637;TP53;9606;0.126;25144556 
P55083;MFAP4;9606;P04637;TP53;9606;0.126;23443559 
P55036;PSMD4;9606;P04637;TP53;9606;0.21;20479273 
P55072;VCP;9606;P04637;TP53;9606;0.236;23383273 23443559 
P55774;CCL18;9606;P04637;TP53;9606;0.286;16169070 
P55084;HADHB;9606;P04637;TP53;9606;0.126;25144556 
P55209;NAP1L1;9606;P04637;TP53;9606;0.523;14966293 
P61254;RPL26;9606;P04637;TP53;9606;0.309;20542919 23443559 
P60510;PPP4C;9606;P04637;TP53;9606;0.309;9837938 
P60953;CDC42;9606;P04637;TP53;9606;0.286;16169070 
P61313;RPL15;9606;P04637;TP53;9606;0.126;23443559 
P61513;RPL37A;9606;P04637;TP53;9606;0.126;23443559 
P62906;RPL10A;9606;P04637;TP53;9606;0.126;23443559 
P62195;PSMC5;9606;P04637;TP53;9606;0.702;17224908 20479273 
P62701;RPS4X;9606;P04637;TP53;9606;0.126;25144556 
P62191;PSMC1;9606;P04637;TP53;9606;0.126;22653443 
P62081;RPS7;9606;P04637;TP53;9606;0.454;17310983 23443559 19683495 
P62136;PPP1CA;9606;P04637;TP53;9606;0.332;15231748 
P62328;TMSB4X;9606;P04637;TP53;9606;0.126;16169070 
P62263;RPS14;9606;P04637;TP53;9606;0.126;23443559 
P62241;RPS8;9606;P04637;TP53;9606;0.126;23443559 
P62249;RPS16;9606;P04637;TP53;9606;0.126;25144556 
P62318;SNRPD3;9606;P04637;TP53;9606;0.126;23443559 
P62269;RPS18;9606;P04637;TP53;9606;0.126;25144556 
P62277;RPS13;9606;P04637;TP53;9606;0.126;25144556 
P62851;RPS25;9606;P04637;TP53;9606;0.126;23443559 
P62750;RPL23A;9606;P04637;TP53;9606;0.126;23443559 
P62736;ACTA2;9606;P04637;TP53;9606;0.126;23443559 
P62847;RPS24;9606;P04637;TP53;9606;0.126;23443559 
P62753;RPS6;9606;P04637;TP53;9606;0.126;23443559 
P62841;RPS15;9606;P04637;TP53;9606;0.126;23443559 
P62854;RPS26;9606;P04637;TP53;9606;0.309;23728348 23443559 
P62879;GNB2;9606;P04637;TP53;9606;0.126;25144556 
P62888;RPL30;9606;P04637;TP53;9606;0.126;23443559 
P62899;RPL31;9606;P04637;TP53;9606;0.126;23443559 
Q9H6S0;YTHDC2;9606;P04637;TP53;9606;0.126;22653443 
P63098;PPP3R1;9606;P04637;TP53;9606;0.126;23443559 
P68371;TUBB4B;9606;P04637;TP53;9606;0.126;23443559 
Q15746;MYLK;9606;P04637;TP53;9606;0.126;25144556 
Q12772;SREBF2;9606;P04637;TP53;9606;0.507;22265415 
P62993;GRB2;9606;P04637;TP53;9606;0.126;22653443 
P62991;UBA52;10090;P04637;TP53;9606;0.21;17936560 
P63146;UBE2B;9606;P04637;TP53;9606;0.376;22083959 
P68366;TUBA4A;9606;P04637;TP53;9606;0.126;23443559 
P63162;SNRPN;9606;P04637;TP53;9606;0.286;16169070 
P68104;EEF1A1;9606;P04637;TP53;9606;0.126;23443559 
P67936;TPM4;9606;P04637;TP53;9606;0.126;25144556 
P67870;CSNK2B;9606;P04637;TP53;9606;0.309;21675959 
P68871;HBB;9606;P04637;TP53;9606;0.21;12665691 
P69723;VIF;11676;P04637;TP53;9606;0.454;21071676 
P83731;RPL24;9606;P04637;TP53;9606;0.126;23443559 
P69722;VIF;11676;P04637;TP53;9606;0.454;21071676 
P69721;VIF;11676;P04637;TP53;9606;0.454;21071676 
P69720;VIF;11676;P04637;TP53;9606;0.454;21071676 
P78347;GTF2I;9606;P04637;TP53;9606;0.126;25144556 
P70398;USP9X;10090;P04637;TP53;9606;0.126;22653443 
P82933;MRPS9;9606;P04637;TP53;9606;0.126;23443559 
P78406;RAE1;9606;P04637;TP53;9606;0.126;23443559 
P82675;MRPS5;9606;P04637;TP53;9606;0.126;23443559 
P82663;MRPS25;9606;P04637;TP53;9606;0.126;23443559 
P84098;RPL19;9606;P04637;TP53;9606;0.126;23443559 
Q00839;HNRNPU;9606;P04637;TP53;9606;0.126;23443559 
Q03013;GSTM4;9606;P04637;TP53;9606;0.286;16169070 
P84074;HPCA;9606;P04637;TP53;9606;0.126;23443559 
P84090;ERH;9606;P04637;TP53;9606;0.286;16169070 
P98179;RBM3;9606;P04637;TP53;9606;0.126;25144556 
Q00688;FKBP3;9606;P04637;TP53;9606;0.21;19166840 
Q00610;CLTC;9606;P04637;TP53;9606;0.126;25144556 
Q02108;GUCY1A3;9606;P04637;TP53;9606;0.376;24725084 
Q02952;AKAP12;9606;P04637;TP53;9606;0.126;23443559 
Q01831;XPC;9606;P04637;TP53;9606;0.21;24258024 
Q01484;ANK2;9606;P04637;TP53;9606;0.286;20195357 
Q02543;RPL18A;9606;P04637;TP53;9606;0.126;23443559 
Q02878;RPL6;9606;P04637;TP53;9606;0.126;23443559 
Q04206;RELA;9606;P04637;TP53;9606;0.376;17434128 
Q05682;CALD1;9606;P04637;TP53;9606;0.126;25144556 
Q09028;RBBP4;9606;P04637;TP53;9606;0.126;23443559 
Q07020;RPL18;9606;P04637;TP53;9606;0.126;23443559 
Q06330;RBPJ;9606;P04637;TP53;9606;0.569;26302407 
Q08209;PPP3CA;9606;P04637;TP53;9606;0.126;23443559 
Q07065;CKAP4;9606;P04637;TP53;9606;0.126;25144556 
Q07812;BAX;9606;P04637;TP53;9606;0.196;25241761 
Q07666;KHDRBS1;9606;P04637;TP53;9606;0.126;22653443 
Q07912;TNK2;9606;P04637;TP53;9606;0.21;23402884 
Q07820;MCL1;9606;P04637;TP53;9606;0.454;24491548 27818144 
Q13200;PSMD2;9606;P04637;TP53;9606;0.126;22653443 
Q12962;TAF10;9606;P04637;TP53;9606;0.21;18250150 
Q13043;STK4;9606;P04637;TP53;9606;0.196;25241761 
Q15714;TSC22D1;9606;P04637;TP53;9606;0.454;22870275 
Q12979;ABR;9606;P04637;TP53;9606;0.126;23443559 
Q12980;NPRL3;9606;P04637;TP53;9606;0.126;20308539 
Q13049;TRIM32;9606;P04637;TP53;9606;0.376;25146927 
Q13077;TRAF1;9606;P04637;TP53;9606;0.126;22653443 
Q13190;STX5;9606;P04637;TP53;9606;0.286;16169070 
Q13164;MAPK7;9606;P04637;TP53;9606;0.376;22869143 
Q13105;ZBTB17;9606;P04637;TP53;9606;0.507;19901969 21804610 
Q13509;TUBB3;9606;P04637;TP53;9606;0.126;22653443 
Q13263;TRIM28;9606;P04637;TP53;9606;0.569;20858735 20864041 17056014 
Q13216;ERCC8;9606;P04637;TP53;9606;0.376;22032989 
Q13247;SRSF6;9606;P04637;TP53;9606;0.126;25144556 
Q13503;MED21;9606;P04637;TP53;9606;0.309;10024883 
Q13363;CTBP1;9606;P04637;TP53;9606;0.376;18765668 
Q13435;SF3B2;9606;P04637;TP53;9606;0.126;23443559 
Q13472;TOP3A;9606;P04637;TP53;9606;0.126;22653443 
Q13535;ATR;9606;P04637;TP53;9606;0.92;15159397 10608806 20798688 11459832 10435622 15775976 16293623 
Q14498;RBM39;9606;P04637;TP53;9606;0.126;25144556 
Q13573;SNW1;9606;P04637;TP53;9606;0.126;23443559 
Q13950;RUNX2;9606;P04637;TP53;9606;0.376;23618908 
Q13724;MOGS;9606;P04637;TP53;9606;0.126;23443559 
Q14257;RCN2;9606;P04637;TP53;9606;0.126;23443559 
Q13887;KLF5;9606;P04637;TP53;9606;0.376;16595680 
Q14061;COX17;9606;P04637;TP53;9606;0.286;16169070 
Q14790;CASP8;9606;P04637;TP53;9606;0.376;17290218 
Q15102;PAFAH1B3;9606;P04637;TP53;9606;0.286;16169070 
Q14684;RRP1B;9606;P04637;TP53;9606;0.126;23443559 
Q15013;MAD2L1BP;9606;P04637;TP53;9606;0.286;16169070 
Q15008;PSMD6;9606;P04637;TP53;9606;0.21;24258024 
Q15024;EXOSC7;9606;P04637;TP53;9606;0.126;23443559 
Q15573;TAF1A;9606;P04637;TP53;9606;0.309;10913176 
Q15181;PPA1;9606;P04637;TP53;9606;0.286;16169070 
Q15170;TCEAL1;9606;P04637;TP53;9606;0.126;26186194 
Q15365;PCBP1;9606;P04637;TP53;9606;0.126;23443559 
Q15572;TAF1C;9606;P04637;TP53;9606;0.309;10913176 
Q15542;TAF5;9606;P04637;TP53;9606;0.21;15053879 
Q15843;NEDD8;9606;P04637;TP53;9606;0.126;22653443 
Q15759;MAPK11;9606;P04637;TP53;9606;0.065;17254968 
Q53ET0;CRTC2;9606;P04637;TP53;9606;0.126;23443559 
Q15831;STK11;9606;P04637;TP53;9606;0.21;11430832 
Q15797;SMAD1;9606;P04637;TP53;9606;0.376;22588298 
Q9H4B4;PLK3;9606;P04637;TP53;9606;0.702;12242661 11551930 
Q6EMB2;TTLL5;9606;P04637;TP53;9606;0.126;20308539 
Q8TDN4;CABLES1;9606;P04637;TP53;9606;0.376;14637168 11706030 
Q16576;RBBP7;9606;P04637;TP53;9606;0.126;23443559 
Q16401;PSMD5;9606;P04637;TP53;9606;0.126;22653443 
Q16531;DDB1;9606;P04637;TP53;9606;0.126;23443559 
Q16637;SMN2;9606;P04637;TP53;9606;0.636;11704667 21900206 
Q3ZCQ8;TIMM50;9606;P04637;TP53;9606;0.126;23443559 
Q16643;DBN1;9606;P04637;TP53;9606;0.126;25144556 
Q16666;IFI16;9606;P04637;TP53;9606;0.21;11146555 
Q3YEC7;RABL6;9606;P04637;TP53;9606;0.376;23572512 
Q2M296;MTHFSD;9606;P04637;TP53;9606;0.126;20308539 
Q6B0I6;KDM4D;9606;P04637;TP53;9606;0.569;22514644 
Q5T4S7;UBR4;9606;P04637;TP53;9606;0.126;23443559 
Q5SRQ6;CSNK2B;9606;P04637;TP53;9606;0.126;22653443 
Q53EZ4;CEP55;9606;P04637;TP53;9606;0.126;23443559 
Q53H96;PYCRL;9606;P04637;TP53;9606;0.126;22653443 
Q587J7;TDRD12;9606;P04637;TP53;9606;0.126;22653443 
Q53T94;TAF1B;9606;P04637;TP53;9606;0.309;10913176 
Q562R1;ACTBL2;9606;P04637;TP53;9606;0.126;25144556 
Q68DV7;RNF43;9606;P04637;TP53;9606;0.376;21108931 
Q5T9A4;ATAD3B;9606;P04637;TP53;9606;0.126;22653443 
Q5VWQ8;DAB2IP;9606;P04637;TP53;9606;0.126;20308539 
Q5U5Z8;AGBL2;9606;P04637;TP53;9606;0.126;20308539 
Q5VV17;OTUD1;9606;P04637;TP53;9606;0.376;28216291 
Q60520;SIN3A;10090;P04637;TP53;9606;0.376;11313951 
Q62432;SMAD2;10090;P04637;TP53;9606;0.21;19345189 
Q8TD20;SLC2A12;9606;P04637;TP53;9606;0.126;23443559 
Q8IWR1;TRIM59;9606;P04637;TP53;9606;0.376;25046164 
Q6PCD5;RFWD3;9606;P04637;TP53;9606;0.569;20173098 
Q7Z392;TRAPPC11;9606;P04637;TP53;9606;0.126;20308539 
Q6P3S6;FBXO42;9606;P04637;TP53;9606;0.702;19509332 
Q6GPH4;XAF1;9606;P04637;TP53;9606;0.569;25313037 
Q6NZ67;MZT2B;9606;P04637;TP53;9606;0.126;23443559 
Q7L0Y3;TRMT10C;9606;P04637;TP53;9606;0.126;23443559 
Q6Y7W6;GIGYF2;9606;P04637;TP53;9606;0.126;23443559 
Q6PJ69;TRIM65;9606;P04637;TP53;9606;0.21;27012201 
Q71U36;TUBA1A;9606;P04637;TP53;9606;0.126;23443559 
Q7KZ85;SUPT6H;9606;P04637;TP53;9606;0.126;23443559 
Q7Z4G4;TRMT11;9606;P04637;TP53;9606;0.126;20308539 
Q8IW41;MAPKAPK5;9606;P04637;TP53;9606;0.332;17254968 
Q8BUN5;SMAD3;10090;P04637;TP53;9606;0.21;19345189 
Q86V81;ALYREF;9606;P04637;TP53;9606;0.126;25144556 
Q86W92;PPFIBP1;9606;P04637;TP53;9606;0.126;23443559 
Q86X55;CARM1;9606;P04637;TP53;9606;0.309;15186775 
Q86Z02;HIPK1;9606;P04637;TP53;9606;0.794;12702766 
Q8TBK6;ZCCHC10;9606;P04637;TP53;9606;0.286;16169070 
Q8IZT6;ASPM;9606;P04637;TP53;9606;0.126;20308539 
Q8IXM3;MRPL41;9606;P04637;TP53;9606;0.126;23443559 
Q8IY67;RAVER1;9606;P04637;TP53;9606;0.126;23443559 
Q8N6N5;TUBB2C;9606;P04637;TP53;9606;0.126;22653443 
Q8N2W9;PIAS4;9606;P04637;TP53;9606;0.554;11388671 15383276 
Q8N3R9;MPP5;9606;P04637;TP53;9606;0.126;22653443 
Q8N5Z5;KCTD17;9606;P04637;TP53;9606;0.126;25144556 
Q8N488;RYBP;9606;P04637;TP53;9606;0.692;19098711 
Q8NBJ5;COLGALT1;9606;P04637;TP53;9606;0.126;22653443 
Q8TAT5;NEIL3;9606;P04637;TP53;9606;0.286;25402006 
Q8N8S7;ENAH;9606;P04637;TP53;9606;0.126;23443559 
Q8NA92;THAP8;9606;P04637;TP53;9606;0.286;16169070 
Q8NDX9;LY6G5B;9606;P04637;TP53;9606;0.126;23443559 
Q8NBN7;RDH13;9606;P04637;TP53;9606;0.126;23443559 
Q8ND56;LSM14A;9606;P04637;TP53;9606;0.126;25144556 
Q8NFQ8;TOR1AIP2;9606;P04637;TP53;9606;0.126;23443559 
Q8TEW0;PARD3;9606;P04637;TP53;9606;0.236;22653443 
Q8ZHG0;AGUA;632;P04637;TP53;9606;0.126;20711500 
Q96BD6;SPSB1;9606;P04637;TP53;9606;0.126;20308539 
Q8WWV6;FCAMR;9606;P04637;TP53;9606;0.332;21988832 
Q8WVJ9;TWIST2;9606;P04637;TP53;9606;0.21;22975381 
Q9H496;TOR1AIP2;9606;P04637;TP53;9606;0.126;23443559 
Q92481;TFAP2B;9606;P04637;TP53;9606;0.21;20159018 
Q92759;GTF2H4;9606;P04637;TP53;9606;0.309;8612585 
Q92552;MRPS27;9606;P04637;TP53;9606;0.126;23443559 
Q92754;TFAP2C;9606;P04637;TP53;9606;0.309;12226108 
Q92830;KAT2A;9606;P04637;TP53;9606;0.21;18250150 
Q96B26;EXOSC8;9606;P04637;TP53;9606;0.126;23443559 
Q92985;IRF7;9606;P04637;TP53;9606;0.309;18307271 
Q92925;SMARCD2;9606;P04637;TP53;9606;0.126;20308539 
Q92994;BRF1;9606;P04637;TP53;9606;0.21;8943363 
Q93100;PHKB;9606;P04637;TP53;9606;0.126;23443559 
Q96AH0;NABP1;9606;P04637;TP53;9606;0.286;25402006 
Q96A35;MRPL24;9606;P04637;TP53;9606;0.126;23443559 
Q969P6;TOP1MT;9606;P04637;TP53;9606;0.286;25402006 
Q96PE2;ARHGEF17;9606;P04637;TP53;9606;0.126;23443559 
Q96EY7;PTCD3;9606;P04637;TP53;9606;0.126;23443559 
Q96DH6;MSI2;9606;P04637;TP53;9606;0.21;28223335 
Q96DF8;DGCR14;9606;P04637;TP53;9606;0.126;23443559 
Q96BN2;TADA1;9606;P04637;TP53;9606;0.21;18250150 
Q96BR9;ZBTB8A;9606;P04637;TP53;9606;0.569;23329847 
Q96DU7;ITPKC;9606;P04637;TP53;9606;0.126;23443559 
Q96DV4;MRPL38;9606;P04637;TP53;9606;0.126;23443559 
Q96EI5;TCEAL4;9606;P04637;TP53;9606;0.126;23443559 
Q96EQ8;RNF125;9606;P04637;TP53;9606;0.569;25591766 
Q96JN8;NEURL4;9606;P04637;TP53;9606;0.126;22653443 
Q96P16;RPRD1A;9606;P04637;TP53;9606;0.126;23443559 
Q96J94;PIWIL1;9606;P04637;TP53;9606;0.126;20308539 
Q96GD4;AURKB;9606;P04637;TP53;9606;0.236;29340707 20959462 
Q96GM8;TOE1;9606;P04637;TP53;9606;0.569;19508870 
Q96L91;EP400;9606;P04637;TP53;9606;0.21;9194565 
Q96K58;ZNF668;9606;P04637;TP53;9606;0.376;21852383 
Q96L21;RPL10L;9606;P04637;TP53;9606;0.126;23443559 
Q96N67;DOCK7;9606;P04637;TP53;9606;0.126;23443559 
Q96M02;C10ORF90;9606;P04637;TP53;9606;0.794;26223354 24240685 
Q9H444;CHMP4B;9606;P04637;TP53;9606;0.126;25144556 
Q99816;TSG101;9606;P04637;TP53;9606;0.376;11172000 
Q96RL1;UIMC1;9606;P04637;TP53;9606;0.454;19433585 
Q96QH2;PRAM1;9606;P04637;TP53;9606;0.21;14976551 
Q96T88;UHRF1;9606;P04637;TP53;9606;0.74;26102039 
Q96RR1;PEO1;9606;P04637;TP53;9606;0.126;22653443 
Q96RU2;USP28;9606;P04637;TP53;9606;0.126;22653443 
Q9BTK6;PAGR1;9606;P04637;TP53;9606;0.376;19039327 
Q99536;VAT1;9606;P04637;TP53;9606;0.126;23443559 
Q99466;NOTCH4;9606;P04637;TP53;9606;0.21;21402876 
Q99496;RNF2;9606;P04637;TP53;9606;0.507;22907436 23318437 
Q99684;GFI1;9606;P04637;TP53;9606;0.21;23410974 
Q99547;MPHOSPH6;9606;P04637;TP53;9606;0.286;16169070 
Q99615;DNAJC7;9606;P04637;TP53;9606;0.309;23261415 
Q9BRQ8;AIFM2;9606;P04637;TP53;9606;0.126;23443559 
Q9BQ15;NABP2;9606;P04637;TP53;9606;0.569;23184057 
Q99848;EBNA1BP2;9606;P04637;TP53;9606;0.126;23443559 
Q99873;PRMT1;9606;P04637;TP53;9606;0.309;15186775 
Q9BQ67;GRWD1;9606;P04637;TP53;9606;0.126;23443559 
Q9BRJ7;NUDT16L1;9606;P04637;TP53;9606;0.126;22653443 
Q9BQD7;FAM173A;9606;P04637;TP53;9606;0.286;16169070 
Q9BQA1;WDR77;9606;P04637;TP53;9606;0.126;25144556 
Q9BTZ2;DHRS4;9606;P04637;TP53;9606;0.126;25144556 
Q9BTV7;CABLES2;9606;P04637;TP53;9606;0.21;14637168 
Q9H3M7;TXNIP;9606;P04637;TP53;9606;0.21;23880345 
Q9BVI0;PHF20;9606;P04637;TP53;9606;0.376;22864287 
Q9C0J8;WDR33;9606;P04637;TP53;9606;0.286;16169070 
Q9BZR9;TRIM8;9606;P04637;TP53;9606;0.21;22262183 
Q9BYW2;SETD2;9606;P04637;TP53;9606;0.376;18585004 
Q9BYJ9;YTHDF1;9606;P04637;TP53;9606;0.126;23443559 
Q9BZE4;GTPBP4;9606;P04637;TP53;9606;0.126;20308539 
Q9BZG8;DPH1;9606;P04637;TP53;9606;0.126;20308539 
Q9H0E9;BRD8;9606;P04637;TP53;9606;0.126;20308539 
Q9ESJ1;CABLES1;10090;P04637;TP53;9606;0.21;11706030 
Q9H0Q3;FXYD6;9606;P04637;TP53;9606;0.286;16169070 
Q9H160;ING2;9606;P04637;TP53;9606;0.376;16782091 16024799 
Q9H2S5;RNF39;9606;P04637;TP53;9606;0.376;17719541 
Q9H1Z9;TSPAN10;9606;P04637;TP53;9606;0.126;22653443 
P04637;TP53;9606;O94986;CEP152;9606;0.126;26638075 
Q13625;TP53BP2;9606;O94986;CEP152;9606;0.126;26638075 
P04637;TP53;9606;O95071;UBR5;9606;0.623;21383020 23443559 
P25685;DNAJB1;9606;P04637;TP53;9606;0.21;24361594 
Q13625;TP53BP2;9606;O75886;STAM2;9606;0.081;26344197 
P10599;TXN;9606;P04637;TP53;9606;0.309;19681600 
P04637;TP53;9606;O95251;KAT7;9606;0.569;17954561 
Q86Y26;NUTM1;9606;Q13625;TP53BP2;9606;0.454;25416956 
P10828;THRB;9606;P04637;TP53;9606;0.21;11258898 
Q8IVT5;KSR1;9606;P04637;TP53;9606;0.126;27086506 
P26358;DNMT1;9606;P04637;TP53;9606;0.507;17991895 23038753 
P04637;TP53;9606;O95630;STAMBP;9606;0.309;27561390 
Q96KQ4;PPP1R13B;9606;Q96JN8;NEURL4;9606;0.126;29426014 
Q96KB5;PBK;9606;P04637;TP53;9606;0.569;17482142 
P11274;BCR;9606;P04637;TP53;9606;0.426;16169070 25241761 
Q96KQ4;PPP1R13B;9606;O95835;LATS1;9606;0.376;21041411 
Q96KQ4;PPP1R13B;9606;P04626;ERBB2;9606;0.21;17875712 
Q96KQ4;PPP1R13B;9606;P38398;BRCA1;9606;0.183;25184681 
Q96KQ4;PPP1R13B;9606;Q5NFN4;UVRB;177416;0.126;20711500 
Q96KQ4;PPP1R13B;9606;Q8CKF8;Q8CKF8;632;0.126;20711500 
Q9H3D4;TP63;9606;Q96KQ4;PPP1R13B;9606;0.454;14729977 
Q9UKE5;TNIK;9606;Q96KQ4;PPP1R13B;9606;0.454;17043677 
Q96KQ7;EHMT2;9606;P04637;TP53;9606;0.309;20118233 
Q8IX12;CCAR1;9606;P04637;TP53;9606;0.21;18382127 
P04637;TP53;9606;O95758;PTBP3;9606;0.126;22575643 
P11387;TOP1;9606;P04637;TP53;9606;0.569;10468612 18697815 11805286 
Q8BLG0;PHF20;10090;P04637;TP53;9606;0.309;22864287 
Q96MT8;CEP63;9606;Q96KQ4;PPP1R13B;9606;0.183;17043677 
O95900;TRUB2;9606;O75414;NME6;9606;0.126;27499296 
Q8IZD2;KMT2E;9606;P04637;TP53;9606;0.21;21423215 
Q96PM9;ZNF385A;9606;P04637;TP53;9606;0.21;17719541 
Q96PZ2;FAM111A;9606;P04637;TP53;9606;0.126;28514442 
P04637;TP53;9606;P00374;DHFR;9606;0.309;18451149 
P12004;PCNA;9606;P04637;TP53;9606;0.569;16861890 27407148 
P04637;TP53;9606;P00519;ABL1;9606;0.309;10629029 
Q96S44;TP53RK;9606;P04637;TP53;9606;0.309;12659830 
P12755;SKI;9606;P04637;TP53;9606;0.21;21149449 
Q13625;TP53BP2;9606;P12830;CDH1;9606;0.126;25468996 
Q96KQ4;PPP1R13B;9606;P12830;CDH1;9606;0.126;25468996 
P12931;SRC;9606;P04637;TP53;9606;0.309;25071020 
Q8N137;CNTROB;9606;Q13625;TP53BP2;9606;0.126;26638075 
Q8N4C6;NIN;9606;P04637;TP53;9606;0.126;26638075 
Q8N4C6;NIN;9606;Q13625;TP53BP2;9606;0.126;26638075 
Q99497;PARK7;9606;P04637;TP53;9606;0.507;18042550 22683601 
Q8N5M1;ATPAF2;9606;Q13625;TP53BP2;9606;0.454;25416956 

